jobs,description,workhours,salary,contract_type,experience,diploma,skills,qualifications,industry,company,size,company_description,tools,ID_dep,ville,date
ANALYSTE APPLICATIF DATA FINANCE RH,"Dans le cadre d'un important projet avec un groupe international, nous recherchons un Analyste applicatif data domaine finance et rh.
Intégré à la dsi et encadré par son responsable, vous pilotez et contribué au maintien de la qualité de fonctionnement et au support des applications placées sous votre responsabilité.

Vous êtes féru de manipulation de données et possédez une première expérience dans le domaine IT lié à la Finance et ou RH

De formations supérieure en informatique, vous avez une expérience de 10 ans minimum dans un poste équivalent. Vous possédez une grande aisance dans la manipulation de données et souhaitez travailler dans des projets d'envergure dans un contexte international.
Anglais professionnel nécessaire, contexte international.",35H Travail en journée,50000.0 - 60000.0,Contrat à durée indéterminée,2 ans,,"Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une étude,Rédiger l'information produite",Cadre,Conseil en systèmes et logiciels informatiques,INFORMATIS T.S.,6 à 9 salariés,,,92,ISSY LES MOULINEAUX,2023/08/11
Data Analyst ,"PRÉSENTATION DE L'ENTREPRISE
Qui sommes-nous ?

Nous sommes passionnés par les nouvelles technologies, et vous ? 

Rejoindre Amiltone, c'est intégrer des équipes dynamiques et soudées dans le cadre de projets novateurs et ambitieux. Nous relevons les challenges techniques de nos clients et les accompagnons dans leur transformation digitale.

 

Pourquoi choisir Amiltone¿? 

 Amiltone, plus qu'une entreprise, un état d'esprit !

Notre objectif ? Votre épanouissement professionnel !

Nous avons à cœur de :

Vous accompagner au mieux au travers d'un suivi personnalisé
Vous faire monter en compétences en vous proposant des formations tout au long de votre carrière
Comprendre vos besoins et respecter nos engagements
Vous proposer des missions de qualité avec des technologies innovantes
Cultiver votre potentiel grâce à notre programme de développement personnel Addvise
Votre bien-être passe aussi par des activités extraprofessionnelles, c'est pourquoi nous vous proposons des séances sportives animées par nos coachs, soirées pour se retrouver et animations (à l'agence ou en visio), Gaming nights...

DESCRIPTION DU POSTE
Les missions d'un Amiltonien : 

En tant que Data Analyst  (H/F), vous serez en charge des missions suivantes :

- Cadrer et challenger les besoins de nos métiers 

- Elaborer la stratégie, analyser, concevoir et développer les traitements de données 

- Optimiser les flux existants 

- Contrôler la qualité des données 

- Analyser les incidents de production et apporter des solutions





La stack technique : 

- Technologie : ETL ODI / Sql et PL SQL (Oracle)

- Référentiels : JIRA / Service Now





PROFIL RECHERCHÉ
Le profil d'un Amiltonien :


Diplômé Bac+4/5 (Ecole d'ingénieur/Master), vous disposez de 2 années d'expérience dans le développement de data. 

Toujours sur le qui-vive des nouveautés technologiques, vous êtes force de proposition sur des technos, des outils ou des process qui permettent d'améliorer la qualité du code et la stabilité de nos applications. 

Outre vos compétences techniques, nous nous intéressons également à votre potentiel et votre motivation.

Nos postes sont ouverts aux personnes en situation de handicap.",35H Travail en journée,26000.0 - 32000.0,Contrat à durée indéterminée,2 ans,Bac+5 et plus ou équivalents,"Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une étude,Rédiger l'information produite",Cadre,Programmation informatique,AMILTONE,0 salarié (n'ayant pas d'effectif au 31/12 mais ayant employé des salariés au cours de l'année de référence),,jira,13,AIX EN PROVENCE,2023/08/11
"Apprenti(e) Informaticien, Data scientist double compétence","Organisme de formation, Centre de Formation des Apprentis et Bureau d'études socio-économiques situé en Guyane, nous recrutons un bac +3 minimum en informatique souhaitant se diversifier dans le domaine des data sciences ou du développement d'application. Vous validerez tout au long de votre parcours professionnel, des certifications utiles au développement de nos projets et posséderez alors une réelle aisance dans le montage, la réalisation et la gestion de projets contenant une forte composante numérique et éducative. Ce poste en alternance interne est à pourvoir au plus tôt. Les recrutements en apprentissage sont possibles dans le cadre de notre CFA. En 18 mois maximum vous devrez être en mesure d'assurer les fonctions de Responsable de projet chargé(e) de développement pour nos activités liées à l'EdTech (Technologies de l'Education) et à la Modélisation de l'Information du Bâtiment (BIM). Une offre d'emploi en CDD ou CDI sera proposée au terme du contrat d'apprentissage si celui-ci est concluant.",35H Travail en journée,1747.2 - 2000.0,Contrat à durée déterminée - 18 Mois,Débutant accepté,,"Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une veille documentaire,Rédiger l'information produite",Technicien,Formation continue d'adultes,,,,,973,CAYENNE,2023/08/11
Technicien Data Center,"METALINE c'est 35 ans d'expérience dédiés au service client et à l'accompagnement de l'utilisateur. Le groupe est actif dans les domaines de l'infogérance Digital Workplace, Data Center et des Télécoms. Acteur incontournable des Services Managés, METALINE assure le maintien en conditions opérationnel de l'infrastructure des systèmes d'Information.

Les secteurs d'activités de nos clients sont variés : banque & assurance, industrie automobile, pharmaceutique, transport, éditions.... Le groupe compte plus de 850 collaborateurs répartis sur toute la France et est en pleine croissance avec un objectif de 1000 collaborateurs d'ici fin 2023.

METALINE est également l'Editeur de la Chaine logicielle QUALIPARC.net

Pour un de nos clients basé à LIMAS, nous recherchons 1 techniciens Data Center.

Intégré aux équipes de nos clients et encadré par un team leader vous aurez pour missions :

Taches : 
-	Préparation du matériel 
o	Configuration de routeurs 

-	Configurations
o	Demander les configurations (tickets corp) 
o	S'assurer des bonnes réalisations
o	Modifier les configurations (switchs, bornes) 
o	Administration switchs (ouverture/fermeture de ports, conf de VLAN) 
o	Préparer les réservations DHCP 
o	Valider les réalisations de conf corp (tests et validation) 

-	Administratif
o	Expedition du matériel et suivi 
o	Gestion des communications
o	Gestion des tickets de demandes et incidents avec les equipes centrales (corp) 
o	Accompagnement des sites (communication, guide des actions, validation du fonctionnement)
o	Prise en charge et résolution d'incidents 

Compétences Techniques requises :
-	Routeurs, DHCP, WIFI, SD-WAN, Active Directory",35H Travail en journée,36000.0 - 40000.0,Contrat à durée déterminée - 3 Mois,2 ans,,"Application web,Concevoir une application web,Déterminer des mesures correctives,Réaliser un diagnostic technique,Rédiger un cahier des charges, des spécifications techniques",Employé qualifié,Conseil en systèmes et logiciels informatiques,METALINE,100 à 199 salariés,METALOGIC est une SSII spécialisée dans les métiers de l'informatique : systèmes et réseau.,,69,LIMAS,2023/08/10
Data Engineer,"Sous la direction du Data Manager et en collaboration avec le CTO, tes principales missions sont les suivantes :

Développer, maintenir et faire évoluer des Jobs Talend pour la mise en place de flux de transformations de données.

Organiser la conception et la mise en œuvre de l automatisation de flux de data en mode Event Driven , ainsi qu en Data Integration.

Mettre en place dans nos outils une offre de données commercialisables et vous participerez à l évolution des outils WYZ.

Gérer, maintenir et faire évoluer les catalogues produits de WYZ.",35H Travail en journée,45000.0 - 55000.0,Contrat à durée indéterminée,Débutant accepté,,"Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une étude,Rédiger l'information produite",Cadre,Programmation informatique,WYZ SUPPORT,20 à 49 salariés,,talend,60,LACROIX ST OUEN,2023/08/11
Alternance  Data  Engineer,"Sous la direction du Data Manager et en collaboration avec les autres services (IT, Performance ), vos principales missions sont les suivantes :

Assister le Data Manager dans à la gestion, la maintenance et l'évolution des catalogues produits de WYZ.

Participer au développement, à la maintenance et l'évolution des Jobs Talend pour la mise en place de flux de transformations de données.

Jouer un rôle dans la définition d'une offre de données commercialisables dans nos outils et participer à l'évolution des outils WYZ.",35H Travail en journée,14000.0 - 16000.0,Contrat à durée déterminée - 12 Mois,3 ans,,"Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une étude,Rédiger l'information produite",Employé qualifié,Programmation informatique,WYZ SUPPORT,20 à 49 salariés,,talend,60,LACROIX ST OUEN,2023/08/11
Consultant Data Architect CDI  ,"Le consultant Data Architect fait partie d'une équipe orientée data & technologie regroupant des Data Engineer, des Data Architect, des Solutions Architect et des Machine Learning Engineer. En tant qu'expert, son rôle est d'animer et de faire grandir les compétences de ce collectif via des learning sessions, des formations. Il a aussi un rôle primordial dans les projets qu'il mène avec les clients, ses activités couvrent : 

L'accompagnement des projets dans la définition des besoins métier concernant la description et l'usage des données 

Traduire les besoins métiers en architecture data en partageant des convictions techniques 

L'évaluation de l'architecture de données et des bases  

La définition de nouvelles modélisations de données 

Le choix et l'implémentation des flux de collecte, de transformation et de stockage des données 

Le design, documentation, construction et déploiement des architectures et des applications de base de données 

L'établissement et la garantie des meilleures pratiques concernant le traitement des données 

La garantie de conformité de l'usage et du cycle de vie des données dans son périmètre 

Etre garant des fonctionnalités techniques de qualité et de fiabilité des outils et des flux (scalabilité, sécurité, performance, recovery) 
 
Compétences :  

On prem et cloud (Azure, AWS, GCP) :  

Maitrise des solutions de stockage de données 

Maitrise des enjeux de modélisation et de traitement des données complexe 

Connaissance des sujets de sécurité (Authentifier, Autoriser, Audit) des protocoles et outils 

Maitrise d'outils d'orchestrations  

Connaissance de développement, langage (Python, Java, Scala) 

Compétences démontrées sur des architectures distribuées, et connaissance des patterns d'architecture modernes 

Compétences en architecture métier & d'entreprise (architecture processus, fonctionnelle, données métier) 

Exemples de technologies : 

Spark, Kafka, Suite ELK, Redis, SQL Server, PostgreSQL, Docker, Kubernetes, Linux, Snowflake, Databricks 

Soft skills : 

Pédagogie et clarté dans le partage de ses convictions et ses choix technologiques 
Sens relationnel, adaptabilité 
Synthèse et Analyse 
Innovation, créativité Leadership  

Profil : 
Passionné de data et de ses problématiques, diplômé d'un bac+5 en école d'ingénieur ou du numérique, ou ayant démontré ses compétences dans le domaine. 

Expérience d'au moins 5 ans dans le traitement des données, la gouvernance, la mise en place de plateforme data, d'architecture data, des projets BigData/BI/AI-ML 

Process de recrutement 

Entretien RH 
Entretien Technique avec un Architect  
Entretien Directeur/ Conseil 

Intégrer la communauté des Quanters, c'est vouloir faire bouger les lignes, chaque jour et à tous les niveaux, dans un environnement très bienveillant porté par 4 valeurs : l'excellence, l'exceptionnalité, l'accomplissement humain, et l'esprit d'équipe.    Rejoignez-nous !",38H Travail en journée,70000.0 - 90000.0,Contrat à durée indéterminée,5 ans,Bac+5 et plus ou équivalents,"Concevoir et gérer un projet,Concevoir un logiciel, un système d'informations, une application,Évaluer le résultat de ses actions",Employé qualifié,Conseil pour les affaires et autres conseils de gestion,QUANTMETRY,100 à 199 salariés,"Pure player en Data et Intelligence Artificielle, Quantmetry accompagne des grands comptes de tous secteurs (PSA, BPCE, Crédit Agricole, Safran, Orange, EDF, SNCF, Decathlon...) à valoriser leur patrimoine de données et à mettre en ?uvre des solutions d'IA. Pour ce faire, Quantmetry s'appuie sur ses expertises en Conseil Stratégique et Opérationnel, Data Science, Architecture & Data Engineering.","docker, kubernetes, databricks, snowflake, postgresql",75,PARIS 08,2023/08/10
Data Consultant Stratégie Sénior,"Nous recrutons des personnes avec une appétence forte pour la Data et l'IA, ne craignant pas d'apprendre et d'innover, capable d'accompagner nos clients dans la définition de leur stratégie Data et la conduite de leur transformation Data à travers ces principales missions :

Définition de plan stratégique Data /IA dans l'optique de faire de la Data la pierre angulaire entre, d'une part, la stratégique d'entreprise et les ambitions des métiers, et d'autre part, la stratégie technologique de l'entreprise
Identification et surtout valorisation de cas d'usages Data / IA à forte valeur ajoutée, que ce soit sur des aspects de performance et efficience opérationnelle, de gains financiers (ROI), de performance environnementale ou tout simplement humains (ex : attractivités, rétention des talents )
Définition de l'architecture Data avec un focus particulier sur la l'élaboration de la feuille de route de Data Plateforme à l'état de l'art
Définition de la stratégie Data for Sustainability visant à mettre la Data et l'IA au service de la création de valeur responsable et durable
Élaboration et mise en place de modèles d'organisation de la fonction Data / IA adaptés à l'ambition et à la maturité Data du client et mise en œuvre de l'ensemble des fondamentaux de la gouvernance de la Data (Data Quality Management, Tooling, Master Data management )
Définition et mise en place de plans d'acculturation Data/IA au sein des entreprises, de la formation Data / IA (upskilling/reskilling), au change management en passant par le Data Knowledge management
Pré-requis du poste
Une formation (type Bac+5) sera nécessaire pour pouvoir appréhender la gestion de projets multidisciplinaire à forte composante stratégique, technologique et scientifique dans différents domaines (marketing, détection de fraude, maintenance, ressources humaines ), couplée à une expérience en cabinet de stratégie digitale / Data / technologique (de 2 à 5 ans d'expérience).

Pré-requis du poste:

Vous êtes force de proposition et souhaitez exprimer vos idées au sein d'un environnement dynamique et innovant. Autonome dans vos démarches et votre organisation, vous possédez les qualités relationnelles et managériales indispensables à un travail d'équipe constructif et productif.",35H Travail en journée,3100.0 - 5000.0,Contrat à durée indéterminée,5 ans,,"Analyser les résultats d'un projet,Décliner la conception générale d'un projet architectural en plans et maquettes,Déterminer les modalités de chantier,Esquisse d'un projet d'édifice ou d'espace,Réaliser l'esquisse d'un projet de création ou d'aménagement,Réceptionner un ouvrage",Cadre,Conseil pour les affaires et autres conseils de gestion,QUANTMETRY,100 à 199 salariés,"Pure player en Data et Intelligence Artificielle, Quantmetry accompagne des grands comptes de tous secteurs (PSA, BPCE, Crédit Agricole, Safran, Orange, EDF, SNCF, Decathlon...) à valoriser leur patrimoine de données et à mettre en ?uvre des solutions d'IA. Pour ce faire, Quantmetry s'appuie sur ses expertises en Conseil Stratégique et Opérationnel, Data Science, Architecture & Data Engineering.",,75,PARIS 08,2023/08/10
Data Engineer sénior CDI,"En tant que Data Engineer chez Quantmetry, vous serez amené à travailler sur des problématiques de :  

Ingestion de données (collecte push/pull stream, batch), règles de qualité, traçabilité, conformité et confidentialié. 

Mise en œuvre de pipeline de données permettant de gérer les normalisations, enrichissements, mise en qualité, calculs de KPI   

Mise en œuvre d'outils de stockage appropriés (base de données SQL, No-SQL, stockage fichier ou objets) en fonction de la performance ou du coût 

Modélisation des données, dès la collecte jusqu'à l'exposition 

Traiter, modéliser, stocker, interroger et visualiser les données pour les fournir à des utilisateurs métiers 

Conception et développement d'APIs pour rendre disponible les données  

Mettre en place et configurer les services de monitoring techniques, applicatifs et flux 

Mettre en place et utiliser les outils d'orchestrations et de CI/CD  

Participer à l'industrialisation et l'optimisation d'algorithmes de Machine Learning  

Mettre en action la gestion du cycle de vie des modèles'IA 

Les développements sont réalisés sur des infrastructures on-premise ou sur des environnements Cloud, et afin d'assurer un haut niveau d'exigence, ces environnements nécessitent de prendre en compte :  

Sécurité : authentification, autorisation, audit, logs  

Scalabilité, résilience : l'infrastructure matérielle et l'architecture logicielle doivent être en mesure de répondre aux exigences des produits IA 

En plus de l'activité de développement, vous serez également amené à :  

Définir les roadmaps de développement  

Intégrer des équipes produit pour contribuer directement, au plus proche des problématiques business, au développement de nouvelles solutions  

Travailler de concert avec l'Architecte de Solution et les équipes SI du Client  

Et, comme nous savons à quel point il est primordial pour vous de garder un lien avec la technique, nous encourageons nos équipes à consacrer de votre temps sur l'année à des projets transverses de R&D en abordant des sujets d'architectures et de développements de produits IA.  

Profil recherché 

Le tout dans un environnement technologique client state of the art. 

Stack technique orientée micro-services et Serverless. Véritable tremplin pour évoluer sur les technologies cloud. 

Diplôme d'ingénieur ou en informatique 

Au moins 5 ans d'expériences en tant que Data Engineer ou sur un poste similaire 

Expérience de mise en place de data pipelines 

Connaissance d'un ou plusieurs langages de développement orienté data (Java, Scala, Python) et des frameworks ou librairies de manipulation de données (Spark, Pandas/Koalas, SQL) 

À l'aise sur au moins 1 environnement Cloud (AWS, Azure ou GCP) 

Bonne culture CI/CD 

Connaissance et pratique de l'Infrastructure As Code 

Connaissance et pratique des tests (TDD, TDDA, BDD... ) 

 

Process de recrutement  
Entretien RH  
Entretien Technique avec exercice de code en ligne  
Entretien Directeur (Data&Tech)  avec use case  

Intégrer la communauté des Quanters, c'est vouloir faire bouger les lignes, chaque jour et à tous les niveaux, dans un environnement très bienveillant porté par 4 valeurs : l'excellence, l'exceptionnalité, l'accomplissement humain, et l'esprit d'équipe.    

Rejoignez-nous !",38H Travail en journée,40000.0 - 50000.0,Contrat à durée indéterminée,5 ans,,"Concevoir et gérer un projet,Concevoir un logiciel, un système d'informations, une application,Évaluer le résultat de ses actions",Cadre,Conseil pour les affaires et autres conseils de gestion,QUANTMETRY,100 à 199 salariés,"Pure player en Data et Intelligence Artificielle, Quantmetry accompagne des grands comptes de tous secteurs (PSA, BPCE, Crédit Agricole, Safran, Orange, EDF, SNCF, Decathlon...) à valoriser leur patrimoine de données et à mettre en ?uvre des solutions d'IA. Pour ce faire, Quantmetry s'appuie sur ses expertises en Conseil Stratégique et Opérationnel, Data Science, Architecture & Data Engineering.",,75,PARIS 08,2023/08/10
Lead Data Scientist,"Nous recrutons des personnes  ayant une appétence forte pour la Data, n'ayant pas peur d'apprendre et d'innover, pouvant participer à des débats enflammés sur l'IA et étant capable d'assumer une double casquette de consultant(e) et d'expert(e) technique à la fois et ayant des connaissances métier dans un domaine de prédilection du Big Data (banque, assurance, pharmaceutique, grande distribution, énergie, industrie, distribution, transport, marketing ou santé).

Votre rôle relèvera de celui de pilier au sein de Quantmetry à travers la gestion d'équipes et de projets, et vous permettra de faire valoir votre expertise sur des sujets à forte composante quantitative dans des secteurs variés ou/et technique.

Pour vous aider à vous projeter sereinement au sein de Quantmetry, nous vous proposons comme plan de carrière deux chemins possible :

Celui de manager, à l'image d'un stratège menant ses équipes vers un but commun et ainsi vers la réussite à travers des projets Data d'envergures ;
Celui d'expert(e) technique en IA pouvant être considéré comme une référence technique dans le monde de la Data Science.

Pré-requis du poste
- Aussi, vous l'aurez compris, une expérience dans le monde passionnant de la Data Science et un positionnement d'expert est recommandé  pour prendre part à l'aventure Quantmetry en tant que Lead data scientist senior (5 ans d'expérience minimum.).

- Une expérience significative en cabinet conseil ou ESN.

- Etre en capacité d'animer et de manager une équipe en interne, ainsi qu'en externe en tant que lead sur des missions (avoir 1 an d'expérience ou une 1ère expérience dans ces domaines).

Qui plus est, si vous savez coder les yeux fermés en Python ou/et R, avez des connaissances solides comme le roc en machine learning, statistiques et analyse quantitative.
Vous êtes aussi autonome qu'une Google Car sur l'environnement UNIX/LINUX (et plus prudent qu'une voiture autonome d'Uber) et ne pouvez vous endormir sans avoir relu une énième fois « The Elements of Statistical Learning »
Qu'attendez-vous pour postuler ?",35H Travail en journée,3666.0 - 5166.0,Contrat à durée indéterminée,5 ans,,"Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une veille documentaire,Rédiger l'information produite",Cadre,Conseil pour les affaires et autres conseils de gestion,QUANTMETRY,100 à 199 salariés,"Pure player en Data et Intelligence Artificielle, Quantmetry accompagne des grands comptes de tous secteurs (PSA, BPCE, Crédit Agricole, Safran, Orange, EDF, SNCF, Decathlon...) à valoriser leur patrimoine de données et à mettre en ?uvre des solutions d'IA. Pour ce faire, Quantmetry s'appuie sur ses expertises en Conseil Stratégique et Opérationnel, Data Science, Architecture & Data Engineering.",,75,PARIS 08,2023/08/10
