jobs,description,workhours,salary,contract_type,experience,diploma,skills,qualifications,industry,company,size,company_description,tools,ID_dep,ville,date
"RESPONSABL SUPPLYCHAIN, LOGISTIQUE, DATA","Le Groupe BIOTECH DENTAL renforce ses équipes pour organiser sa forte croissance. Elle crée un poste de Responsable Pôle Data, Logistique & Supply Chain (H/F), sous la Responsabilité du Responsable de Site, qui aura pour mission de piloter la gestion des flux de la chaîne logistique sur le périmètre BIOTECH DENTAL DIGITAL et BIOTECH DENTAL MANUFACTURING toutes deux basées à Scionzier (74).

- Garant(e) de la gestion des flux entre les différents acteurs de la chaîne logistique en amont et en aval, des fournisseurs jusqu'aux clients 
- Évalue et planifie la demande clients : définit la/les stratégies de planification et d'ordonnancement en collaboration avec le Responsable Méthodes-Production 
- Propose des solutions pour répondre aux besoins spécifiques clients (prototypage, demandes express ) 
- Contribue activement au projet de Supply Chain du Groupe BD 
- Pilote la régulation des stocks, des composants comme des produits finis (ou semi-finis) 
- Pilote l'ensemble des achats et approvisionnements
- Garant(e) de la satisfaction client 
- Garant(e) de la performance du système d'information utilisé pour piloter les processus opérationnels de l'entreprise 
- Supervise et optimise les processus déployés dans l'ERP
- Pilote les processus Logistique et Achats.

Expérience professionnelle : expérience souhaitée dans le domaine de la production industrielle 

- Langues étrangères : Anglais B2

- Informatique : maitrise de logiciels ERP (Sage, SAP,  ), Pack office (Excel), Outils d'analyse de base de données (PowerBI)

Qualités requises :
- Esprit d'analyse et de synthèse développé
- Rigueur et organisation
- Réactivité et respect des délais
- Capacité de s'interfacer avec tous les départements de l'entreprise
- Communicant(e), diplomate, capacité de négociation
- Bonne gestion du stress

Horaires hebdomadaires : de journée",39H Travail en journée,42000.0,Contrat à durée indéterminée,4 ans,"Bac+3, Bac+4 ou équivalents - Gestion production et logistique","Analyser les coûts de la chaîne logistique (supply chain),Caractéristiques de la chaîne logistique (Supply Chain),Définir des flux de production,Définir un dispositif de suivi de production,Gestion des flux de production,Management de la chaîne logistique (Supply chain management),Méthodes d'ordonnancement,Normes environnementales,Organiser et contrôler un approvisionnement,Organiser le travail d'une équipe,Techniques de planification",Cadre,Décolletage,BIOTECH DENTAL MANUFACTURING,50 à 99 salariés,Fabricant de composants et sous ensembles mécaniques de petites dimensions et de hautes précisons dans le domaine du médical.,,74,SCIONZIER,2023/08/18
Biostatisticien/Data-Manager,"Avec plus de 20 ans d'expérience dans le développement de projets médicaux d'envergure et d'innovation en cancérologie, l'association ARTIC joue un rôle majeur dans le domaine de l'oncologie en France et en Europe. 
Nous investissons dans la recherche clinique centrée sur le patient et évaluons de nouvelles stratégies thérapeutiques qui deviendront peut-être les traitements de demain. 
En étroite collaboration avec un grand hôpital Parisien et à travers ses essais cliniques et ses études, notre équipe est fière de contribuer au développement des connaissances et de les mettre au service des patients. 
Afin de poursuivre notre développement, nous cherchons un biostatisticien / Data Manager (Biostat-DM). 
MISSIONS ET FONCTIONS : 
Sous la responsabilité hiérarchique et fonctionnelle du Directeur de la transformation, le Biostat-DM a pour missions : 
1.	Conception des eCRF et bases de données 
-	Conception des cahiers d'observation, base de données, eCRF, traçabilité du circuit des CRFs et DCFs
-	Production des plans et rapports de datamanagement
-	Assurance de la cohérence et de la qualité de l'ensemble des données jusqu'au gel de base des données
-	Vérification de la conformité du traitement de données selon la réglementation en vigueur
2.	Mise en œuvre des études
-	Choix d'un modèle statistique et définition de la méthodologie des études cliniques et de la randomisation 
-	Rédaction de la section statistique du protocole, plan d'analyse statistique et calcul du nombre de sujet 
-	Participation à la rédaction et à la validation du protocole, de l'eCRF et du DVP
-	Vérification, demande de correction et validation de la cohérence et de la qualité des données 
-	Vérification de la conformité du traitement de données selon la réglementation en vigueur
-	Proposition du modèle statistique le plus en adéquation avec la problématique clinique
3.	Interprétation et diffusion des résultats
-	Réalisation et programmation des analyses
-	Production de revues de données
-	Validation des documents générés par le prestataire stat
-	Rédaction du rapport statistique (CSR) et de la partie statistique des rapports d'études
-	Participation à la rédaction des supports de communication et validation des abstracts, articles, etc
Le Biostat-DM a également pour missions :
-	Réaliser des audits internes et auprès des prestataires dans son domaine d'activité 
-	Participer à la rédaction, validation et approbation des procédures biométrie d'ARTIC
COMPÉTENCES CLÉS :
Diplôme requis : Bac + 5 avec formation en statistiques et data Management 
-	Disposer de connaissances statistiques avancées
-	Maitrise du logiciel ENNOVClinical® et du module CSOnline
-	Maîtriser des logiciels SAS (Base, Macro, Stat, Graph) ou « R »
-	Connaitre le CDISC et les formats de données CDISC (AdAM)
-	Connaître les exigences réglementaires liées à son domaine d'expertise
-	Rédiger des documents scientifiques en anglais 
QUALITES :
-	Rigueur, sens de l'organisation et autonomie
-	Excellente capacité d'organisation et de gestion du temps
-	Force de proposition, proactivité dans la mise en place de solutions face à un environnement en perpétuelle évolution 
-	Analyser une situation en toute autonomie et apporter la réponse appropriée
-	Être capable de travailler en mode projet avec des équipes pluridisciplinaires
-	Savoir gérer plusieurs analyses et études en parallèle
-	Savoir respecter les délais avec un rendu de qualité 
Modalités de recrutement : 
Le dossier de candidature, comprenant une lettre de motivation et un CV détaillé, est à adresser à salma.kotti@association-artic.org",39H Travail en journée,28000.0 - 30000.0,Contrat à durée déterminée - 12 Mois,Débutant accepté,,"Analyse statistique,Analyser, exploiter, structurer des données,Déterminer et développer les méthodes de recherche, de recueil et d'analyse de données,Relever, contrôler, ajuster des mesures et dosages,Réaliser et vérifier des calculs de mathématiques généraux ou appliqués",Agent de maîtrise,Recherche-développement en autres sciences physiques et naturelles,Association ARTIC,6 à 9 salariés,"Avec plus de 20 ans d expérience dans le développement de projets médicaux d envergure et d innovation en cancérologie, l'association ARTIC joue un rôle majeur dans le domaine de l oncologie en France et en Europe.Nous investissons dans la recherche clinique centrée sur le patient et évaluons de nouvelles stratégies thérapeutiques qui deviendront peut-être les traitements de demain.",sas,75,PARIS 15,2023/08/18
Data Analyst,"Vous intégrez notre équipe Data pour intervenir notamment dans le domaine de la presse, au sein de notre agence de Rennes. 
Vous intervenez comme Consultant Data Visualisation H/F.

Vos principales missions seront :

- Analyser des besoins fonctionnels et les transformer en conception technique.
- Réalisation de tableau de bord.
- Intégration de la solution dans le système globale : gestion des accès, des droits, etc. 
- Développement d'outils sur Power Apps afin de créer des flux d'entrées et de modifications de données sur Power BI. 

Environnement technique : Talend DI, SharePoint, Qlik Sense, PL/SQL, Jira, Power Automate, Looker Studio, SSIS",37H Travail en journée,35000.0 - 37000.0,Contrat à durée indéterminée,2 ans,Bac+5 et plus ou équivalents informatique décisionnelle,"Analyse statistique,Analyser, exploiter, structurer des données,Big data Analytics,Concevoir et gérer un projet,Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une étude,Rédiger l'information produite",Cadre,Conseil en systèmes et logiciels informatiques,INETUM,0 salarié (n'ayant pas d'effectif au 31/12 mais ayant employé des salariés au cours de l'année de référence),,"jira, tableau, power bi, looker, talend",35,RENNES,2023/08/18
DATA ANALYST POUR CONCEPTION ESSAIS SOL A350 - Anglais courant,"Valérie & Claire, vos Commandantes de Bord pour ce recrutement vous explique pourquoi rejoindre Airbus : « Quand on pense à Airbus on pense prestige ! Vous aussi venez contribuer à un avenir plus sûr dans les airs ! Airbus c'est une grande famille qui n'attend que vous ! »
Nous nous engageons pour un long voyage, Crit Tertiaire recrute en CDII et en mission de Travail Temporaire. 
Pour préparer ce voyage, vous serez convié(e) à un entretien avec notre équipe en agence dans le but d'étudier votre parcours, échanger sur vos attentes....
On vous dit tout !! Faisons escale sur votre plan de vol et les attentes du poste : 

Concevoir les procédures d'essai pour valider la bonne fabrication de l'avion 

Concevoir les outils pour piloter la performance pour aider les concepteur essai à faire leur travail 

Capable de développer des applications, logiciels, dashboard et KPI  

Spécifier le besoin du client , le développer et le déployer 

Tester et valider , écrire les manuels utilisateurs 

Formation / Expérience / Compétences (Study/ Experience/ Competencies) :

Il s'agit d'un profil développeur full-stack, ( connaissance en Data analyste : un plus) 
Reprenons notre check-list pour en savoir plus sur ce poste et faisons une escale sur vos compétences de base nécessaires à votre réussite sur le poste.

Vous avez au moins 5 ans d'expérience dans un poste similaire !
Anglais courant obligatoire ! 

Ce qui fera la différence pour la réussite sur ce poste : Dynamisme, Rigueur et Empathie 

Le petit + de Crit Tertiaire  ! les équipes Crit vous souhaitent un agréable vol au sein de notre Compagnie et vous garantissent leur présence à l'atterrissage pour l'atterrissage pour préparer votre avenir...
 Avant l'embarquement, vérifions que nous n'avons rien oublié, dans vos bagages, il vous faudra =&gt;
Rappel de votre carte d'embarquement : De l'envie, motivation, rigueur et de l'assiduité !

Votre passeport reprenant :
Votre diplôme bac +5, 
5 ans d'expérience en gestion des Développement logiciel
La maîtrise de l'anglais est obligatoire !

Vous êtes : 
- Capable de travailler sous pression et de gérer efficacement de nombreuses priorités et activités simultanément.
- Très organisé, structuré et discipliné pour soutenir toutes les actions en cours pour l'équipe.

Dans l'Aéronautique, on lit le plan de vol jusqu'au bout pour assurer la qualité du voyage de l'avion... Alors si vous avez bien tout lu, n'oubliez pas notre devise pour vous accompagner « le feu la flamme » comme le réacteur qui vous attend pour embarquer !

Tous nos postes sont ouverts aux candidats en situation de handicap.",35H Travail en journée,30000.0 - 35000.0,Mission intérimaire - 6 Mois,2 ans,,"Application web,Concevoir une application web,Déterminer des mesures correctives,Recueillir et analyser les besoins client,Rédiger un cahier des charges, des spécifications techniques",Cadre,Activités des agences de travail temporaire,CRIT INTERIM,0 salarié (n'ayant pas d'effectif au 31/12 mais ayant employé des salariés au cours de l'année de référence),"Acteur leader dans les ressources humaines et recrutement en CDD, CDI, CDII et intérim, CRIT compte aujourd'hui près de 450 agences d'emploi généralistes et spécialisées en France. Depuis 60 ans, nous répondons aux besoins des entreprises publiques et privées dans tous les secteurs d'activité. Nous accompagnons chaque année plus de 200 000 salariés de toutes qualifications (ouvriers, employés, techniciens, cadres...). Pourquoi pas vous",,31,BLAGNAC,2023/08/17
Data scientist,"Description de l'entreprise : 
Excellence Logging est une société de services du secteur énergétique qui fournit des analyses techniquement avancées dans l'évaluation des formations géologiques souterraines et la surveillance des forages (pour la sécurité des biens et des personnes), et réalise des interventions d'appoint sur les puits pour le compte de nos clients. 
Notre priorité est d'aider nos clients à forer de manière sure et efficace en leur fournissant des données sur les performances de leur forage et des informations importantes concernant la lithologie et les fluides de formation. 
Basé en France à Colombes (92), le département NPD (New Product Development) - capteurs et mesures conçoit et teste des instruments de mesures adaptés aux conditions extrêmes des plateformes de forage ainsi que les algorithmes de traitement appropriés. 

Description du poste:
Nous recherchons une personne ouverte d'esprit, dynamique et capable de sortir des sentiers battus. Vous devez savoir vous organiser et remplir vos objectifs en toute autonomie, en respectant le cahier des charges technique, les coûts et délais. Vous devrez faire preuve de curiosité et être capable de travailler en dehors de votre zone de confort. 
Une attitude positive et un bon état d'esprit sont des qualités indispensables pour réussir à ce poste. 
Le projet qui occupera les sept mois de ce poste se concentre sur la conception et l'implémentation d'algorithmes d'analyse d'images géologiques'à l'aide de processus déterministes et d'intelligence artificielle. 
Vous devrez écrire ces algorithmes, les tester, améliorer leurs performances pour qu'ils soient applicables à toutes les images de notre bibliothèque, puis les transcrire dans un langage compilé qui permet de les intégrer dans nos produits. 
Le travail comprend aussi une large part de collaboration avec le reste de l'équipe de R&D pour  déterminer les meilleures méthodes à appliquer à nos données, nous conseiller sur l'acquisition de nouvelles données (quoi, combien, comment), déterminer comment effectuer la transcription des algorithmes.  
Vous aurez l'opportunité de découvrir le domaine énergétique et les dernières actualités concernant les transitions en cours.

Les Compétences Requises Pour Ce Poste: 
Formation d'ingénieur bac+5 minimum (Masters), avec spécialité d'IA et de traitement d'images : réseaux convolutifs, transfert d'apprentissage et apprentissage par renforcement, réseaux récurrents, réseaux antagonistes génératifs, gestion du bruit,  . 
- Expérience de calcul de la région de stabilité d'un système non linéaire sous contraintes. 
- Solides bases en automatique et en résolution de problèmes inverses, logique floue. 
- Connaissances de base en géologie et sciences de la Terre. 
- Notions d'optique et de sciences de l'ingénieur. 
- Maitrise des outils informatiques et du pack Office et/ou LaTeX 
- Outils de développement : Matlab et Python, Pytorch, Delphi ou C++/C#, SQL 
- Bibliothèques de traitement d'image (OpenCV) 
- Connaissance des outils d'accélération du calcul (CUDA,  ) appréciée. 
- Bonne capacité d'analyses et de résolutions de problèmes pratiques 
- Capacité à s'organiser et à planifier ses taches 
- Créativité et esprit d'équipe 
- Capable de travailler de façon autonome 
- Communication en anglais oral et écrit : niveau professionnel

Poste en présentiel - travail à distance seulement avec autorisation préalable.

Jour de travail : Lundi à Vendredi
Amplitude horaire : 8h à 19h",39H Travail en journée,28000.0,Contrat à durée déterminée - 7 Mois,Débutant accepté,,"Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Langages de programmation informatique,Présenter et diffuser les résultats des études réalisées,Réaliser une veille documentaire,Rédiger l'information produite",Cadre,"Ingénierie, études techniques",EXCELLENCE LOGGING FRANCE,10 à 19 salariés,"Excellence Logging est une société de services aux secteurs de l'énergie qui fournit des analyses techniquement avancées des formations géologiques souterraines, opère la surveillance de forages (pour la sécurité des biens et des personnes) et réalise des interventions d'appoint sur les puits pour le compte de ses clients.",pytorch,92,COLOMBES,2023/08/18
Consultant Junior - Data Analyste en Santé,"Fondé en 2011, Carenity est le 1er réseau social dédié aux patients et à leurs proches avec plus de 500 000 membres actifs à travers le monde. En 2021, Carenity a rejoint le groupe EvidentIQ qui met la technologie et la Data Science au service de la recherche clinique.

Les missions qui nous animent au quotidien consistent à aider les patients à partager leurs expériences avec des personnes qui leur ressemblent, à les accompagner dans la gestion de leurs maladies et à leur permettre de contribuer aux avancées médicales en participant à des études en ligne.

Dans le cadre de son fort développement international, Carenity recrute un(e) :
Consultant Junior - Data Analyste en Santé 
CDI / temps plein, à pourvoir dès que possible

Au sein de l'équipe data science, vous conduirez pour le compte de nos clients des études patient en vie réelle (observationnelles) : laboratoires pharmaceutiques, entreprises de technologie médicale, de biotechnologies, fabricants de dispositifs médicaux, médecins chercheurs...

Vos missions principales, au sein d'une équipe multidisciplinaire (pharmaciens, statisticiens, ingénieurs et commerciaux):
-	Participer à la conduite d'études observationnelles (quantitatives et qualitatives) : recherches bibliographiques, rédaction de protocole et de questionnaire, démarches règlementaires, collecte et analyse approfondie des données, rédaction du rapport d'étude et présentation des résultats au client. 
-	Faciliter la gestion de la relation client : aider le chef de projet à assurer la gestion de la relation client, participation à l'animation de comités scientifiques 
-	Contribuer à la rédaction et à la publication de posters et d'articles scientifiques dans des journaux de référence ou dans des congrès médicaux
-	Collaboration avec les autres équipes afin d'améliorer l'offre de Carenity pour les patients, les collaborateurs et les clients

Notre organisation étant flexible, ces missions sont non exhaustives et adaptables en fonction du profil et des souhaits d'évolution du candidat : chez Carenity, le parcours de chaque collaborateur est personnalisé !

 
Profil recherché :

Les prérequis :
-	Diplômé d'une école d'ingénieurs de premier rang avec une formation en statistiques et/ou en biologie
-	Au moins une expérience antérieure permettant d'acquérir les connaissances, les compétences et les aptitudes nécessaires à l'exercice de la fonction
-	Connaissance des principes statistiques.
-	Maîtrise d'Excel et R 
-	Anglais courant indispensable (écrit et oral)
-	Volonté de découvrir les méthodologies en lien avec le domaine de la santé et de la recherche clinique
-	Excellentes capacités d'analyse, de rédaction et de synthèse
-	Autonomie, proactivité et sens de l'organisation
-	Volonté de s'impliquer dans une jeune entreprise ambitieuse en forte croissance

The extra mile ;-) :
-	Maîtrise d'un ou plusieurs outils de data visualisation
-	Maîtrise d'une ou plusieurs langue(s) supplémentaire(s)
-	Aimer les afterworks !

Poste à temps plein à pourvoir dès que possible

Société basée à Paris 8ème (Saint-Lazare) - télétravail partiel possible
Carenity a été certifié « Best place to work 2021 »
Package attractif, selon profil

Vous recherchez une expérience exigeante dans laquelle vous pourrez avoir un impact réel dans un environnement stimulant et propice à la prise d'initiative et au développement personnel ?

Merci d'adresser votre CV et une lettre de motivation par e-mail à : job@carenity.com",39H Travail en journée,38000.0 - 43000.0,Contrat à durée indéterminée,Débutant accepté,,"Adapter les outils de traitement statistique de données,Analyser, exploiter, structurer des données,Big data Analytics,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une étude,Rédiger l'information produite,Utiliser les outils bureautiques",Employé qualifié,Programmation informatique,Carenity,20 à 49 salariés,"Fondé en 2011 et basé à Paris, Carenity est le 1er réseau social dédié aux patients et à leurs proches avec plus de 500 000 membres actifs à travers le monde. Les missions qui nous animent au quotidien consistent à aider les patients à partager leurs expériences avec des personnes qui leur ressemblent, à les accompagner dans la gestion de leurs maladies et à leur permettre de contribuer aux avancées médicales en participant à des études en ligne.",,75,PARIS 08,2023/08/18
Architecte data,"Le groupe Inetum est en plein essor ! Notre équipe transverse d'Experts ""Digital Consulting"" continue de se développer, nous recherchons dès aujourd'hui au sein de notre communauté d'architectes un Architecte d'Entreprise H/F en CDI.


Venez vivre votre nouvelle aventure avec nous !


En tant qu'acteur important dans la transformation numérique, vos missions seront de définir et piloter le développement de l'architecture du SI dans son ensemble, pour répondre aux besoins des directions métiers, et ceci en cohérence avec la stratégie et les politiques de sécurité et de maîtrise des risques de l'entreprise. En mission chez le client Grand Compte, vous serez amené à :

Architecture :



Accompagner nos clients sur la définition d'une stratégie d'intégration de solutions Big Data et / ou Cloud dans leur SI
Définition des interfaces
Définition des choix techniques des composants et de l'architecture logicielle autour des composants de l'écosystème Hadoop (HDFS, Hive, Impala, HBase, Kafka..), de solutions data cloud (AWS Redshift, Amazon Lambda, Big Query, Azure Synapse..) ou encore de Snowflake.
Définition des langages de programmation.
Evaluer le dimensionnement du socle technique
Rédiger les dossiers d'architecture techniques
Assurer le déploiement de la solution Big Data : distribution Cloudera, Horthonworks, MAP-R, Apache, TDP.
Être référent et avoir une posture de conseil auprès de nos clients
Sujets internes pour animer la communauté data :



Contribuer aux avant-ventes du centre d'expertise
Accompagner les collaborateurs juniors pour leur montée en compétence
Assurer une veille technologique Big Data autour de l'échosystème Hadoop et/ou des solutions Cloud


Tu es le bon candidat si :



Tu as déjà évolué dans le monde du développement en tant qu'ingénieur (java, scala ou Python) avec une culture DevOps.
Tu as 3 ans minimum d'expérience en architecture et dans la mise en œuvre de cluster Big Data Hadoop.
Tu maîtrise à minima une distribution Hadoop, voire une solution de Cloud Provider.
Tu as un esprit curieux, tu aimes le travail en équipe et relever de nouveaux challenges techniques.
Tu aimes partager ton savoir-faire",37H Travail en journée,40000.0 - 70000.0,Contrat à durée indéterminée,48 mois,,"Concevoir et gérer un projet,Concevoir un logiciel, un système d'informations, une application,Évaluer le résultat de ses actions",Cadre,Conseil en systèmes et logiciels informatiques,INETUM,2000 à 4999 salariés,,snowflake,93,ST OUEN SUR SEINE,2023/08/17
Data analyste,"La branche Marketing & Services (MS) regroupe les activités commerciales de la compagnie TotalEnergies. Elle conçoit et commercialise des produits historiques ainsi que des produits innovants, décarbonés, issus d'énergies renouvelables.   Le Marketing & Services est présent dans plus de 100 pays et emploie 33 000 collaborateurs. Avec nos solutions multi-énergies performantes, innovantes et bas carbone destinées à nos clients particuliers et professionnels, nous contribuons à la transformation de la Compagnie. 
	Dans ce contexte, nous recherchons Data analyste H/F, qui sera en charge des missions suivantes : 

Objectif : collecter, traiter, restituer les données en leur donnant du sens, à destination du siège et des zones/ filiales pour optimiser leur pilotage opérationnel de l'activité Réseau et créer de la valeur 

- Consolidation mensuelle des données SFS Monde à destination du siège et des zones/ filiales (Reporting NFR) : 

- Collecter les données des filiales, contrôler leur forme, leur fraîcheur et leur fiabilité 

- Proposer et mettre en place les KPIs pour le pilotage de la performance SFS 

- Mettre en place les process/ requêtes et proposer des pistes d'automatisation/ industrialisation 

- Faire évoluer et enrichir les fonctionnalités du rapport NFR selon les demandes des zones - siège 

- Assurer le rôle d'interface avec les développeurs TGITS pour formaliser les demandes d'évolution, suivre leur production et garantir leur conformité aux besoins exprimés 

- Réaliser et présenter les rapports Power BI pour le Management MS  

- Contrôler la mise à jour des données 

- Accompagner les utilisateurs dans la prise en main de l'outil 

- Assurer la cohérence et la fiabilité des données dans les différents outils de pilotage de l'activité Réseau, analyse les écarts, recherche les causes et les traiter en lien avec les équipes B2CR et zones 

- Produire des analyses spécifiques selon les demandes des filiales et formuler des recommandations à destination du Management 

- Proposer des axes d'optimisation de l'utilisation de la donnée basés sur le « machine learning » et l'intelligence artificielle 

- Animation de l'ensemble des outils de reporting auprès des équipes en filiales pour améliorer la fiabilité des données et favoriser leur appropriation (webinars ) 

- Assurer une veille technologique des nouveaux outils visant à l'améliorer l'analyse des données

Profil recherché :  

Diplomé.e de l'enseignement supérieure en statistiques, big data ou informatique décisionnelle ; 

Première expérience réussite sur un poste similaire; 

Compétences techniques indispensables avec la maîtrise de divers outils et logiciels de data virtualisation (Excel, Power BI, Tableau, Qlik ) ainsi que des langages de programmation (Python, DAX, Java, SQL, VBA, VBS, R ); 

Anglais, français courant.",35H Travail en journée,,Contrat à durée indéterminée,1 an,,"Adapter les outils de traitement statistique de données,Définir et faire évoluer des procédés de traitement de l'information,Présenter et diffuser les résultats des études réalisées,Réaliser une étude,Rédiger l'information produite",Employé qualifié,Autre mise à disposition de ressources humaines,,,,"tableau, power bi",92,COURBEVOIE,2023/08/18
Reconversion ingénieur(e) informatique - Data -,"Vous souhaitez vous reconvertir dans l'informatique, et plus particulièrement dans la Data ? Alors cette offre est faite pour vous !
Le traitement de données, à vocation décisionnelle ou marketing, constitue le maillon essentiel du processus de consolidation et de transformation des données de l'entreprise, afin de développer sa croissance et aiguiller sa stratégie.

Dans un premier temps ?
En lien avec le Pôle Emploi, vous participez à une formation de 3 mois.
Cette formation pratique vise à apporter les connaissances indispensables au traitement de données. Un panorama des principales solutions de Business Intelligence et de BIG DATA sera dressé, en termes de modélisation, d'alimentation, ou de restitution et de visualisation des données : Talend, Informatica, SAP BO, Power BI, écosystème HADOOP, Python, Spark, ELK.
Le parcours sera composé de présentations magistrales et de travaux pratiques sur poste individuel, avec un projet fil rouge finalisé par la livraison d'une application complète, sur laquelle les participants auront travaillé en équipe, leur apportant ainsi une valorisation des acquis et une réelle première expérience. 

Dans un second temps ?
A l'issue de la formation, vous rejoignez un de nos projets en CDI en tant que développeur(se), afin de continuer à progresser techniquement. Vous intégrez une équipe qui veillera, par un suivi de proximité, à vous accompagner dans le développement des compétences indispensables à un service client de qualité, et à acquérir les connaissances fonctionnelles métier associées.

Vous aurez pour principales activités :
-	Conception et développement
-	Veille sur les nouvelles technologies (BI / BIG DATA)
-	Participation aux événements de votre communauté technique (partage de savoir-faire, retours d'expériences)
-	Accompagnement du client dans des projets d'innovation

Votre profil :
Diplômé(e) d'une école d'ingénieurs généraliste, d'une formation universitaire scientifique niveau Master 2 (mathématiques, sciences physiques, biologie, chimie, etc.), ou formation équivalente, vous avez de bonnes capacités d'adaptation et un goût prononcé pour le travail en équipe.
Vous connaissez les algorithmes et vous avez pu appréhender le développement informatique simple durant vos études ou expériences professionnelles (ex : Matlab, html).",35H Travail en journée,,Contrat à durée indéterminée,Débutant accepté,Bac+5 et plus ou équivalents,"Application web,Concevoir une application web,Déterminer des mesures correctives,Réaliser un diagnostic technique,Rédiger un cahier des charges, des spécifications techniques",Cadre,Conseil en systèmes et logiciels informatiques,SOPRA STERIA GROUP,200 à 249 salariés,"Sopra Steria est l'un des leaders européens de la Tech reconnu pour ses activités de conseil, de services numériques et d'édition de logiciels. Fort de 47 000 collaborateurs dans près de 30 pays, le Groupe a réalisé un chiffre d'affaires de 4,7 milliards d'euros en 2021.The world is how we shape it.","power bi, talend, informatica",33,MERIGNAC,2023/08/18
AUDACIEUX-SE CONSULTANT-E BI / BIG DATA - TOULOUSE -,"VOTRE MISSION :

Rattaché(e) à notre agence de Toulouse, vous apporterez votre expertise et votre énergie sur de super projets décisionnels et Big Data. Vous aurez l'opportunité de travailler sur des technologies innovantes et des secteurs divers. Vous interviendrez en Conseil, Réalisation, Expertise, Formation et Développement. Pas de routine chez nous !

VOTRE PROFIL :

Vous justifiez d'une expérience réussie en informatique décisionnelle. Vous connaissez ou désirez travailler sur l'un des outils BI/Big Data, comme par exemple :
     ETL / ELT : Talend DI, Semarchy xDI, MyReport Data, ...
     Dataviz : Power BI, Qlik Sense, MyReport Builder, ...

Ce que vous ne voulez pas :
     Être un numéro pour vos commerciaux
     Que vos managers ne regardent que leurs objectifs personnels
     Que vos responsables connaissent mieux les terrains de golf que vous
Ce que vous aimeriez :
     Échanger avec vos collègues
     Faire évoluer votre CV par les formations, certifications (IBM, Oracle, Microsoft...)
     Avoir des missions variées, à la pointe des nouveautés du marché auprès de Grands Groupes, PME & TPE
     Gérer vos propres projets de A à Z
     Avoir votre part des bénéfices de l'entreprise
     Être managé par vos pairs qui font le même métier que vous au quotidien
     Intégrer une société solide et pérenne avec une croissance à deux chiffres
     Que votre société fasse preuve de solidarité envers les plus démunis (Next Decision est partenaire du Secours Populaire depuis 2015)
     Du fun et de la convivialité au sein de votre entreprise (Une petite partie de baby foot, un petit verre ou une petite bouffe entre collègues ?)

Vous vous reconnaissez dans nos valeurs ? Rencontrons-nous !

Chez Next Decision, nous mettons tout en œuvre pour que chacun-e se sente valorisé-e et que tous nos collaborateurs-trices se sentent libres d'être eux-elles-mêmes au travail. C'est pour cela que nous cultivons la diversité.

Plus vous êtes unique et vous-même, plus vous serez #NextCompatible et trouverez votre place au sein de la #NextTribu !",39H Travail en journée,35000.0 - 45000.0,Contrat à durée indéterminée,1 an,,"Business Intelligence (BI) / Informatique décisionnelle,Déterminer des mesures correctives,Planifier les étapes d'un projet,Recueillir et analyser les besoins client,Réaliser un diagnostic technique,Rédiger un cahier des charges, des spécifications techniques,SQL",Cadre,Conseil en systèmes et logiciels informatiques,NEXT DECISION,50 à 99 salariés,"Fondé en 2010, Next Decision est un cabinet d'experts en informatique décisionnelle & Big Data, MDM et élaboration budgétaire.Présente dans les plus grandes villes de France telles que Nantes, Paris, Brest, Bordeaux, Toulouse, Montpellier, Lyon et Rennes, notre équipe est composée de près de 80 consultants.","power bi, talend",31,TOULOUSE,2023/08/18
